max_depth,max_features,min_samples_split,n_estimators,Accuracy
10,sqrt,14,40,0.8691734227937751
10,sqrt,14,50,0.8664430155623893
10,sqrt,14,60,0.8664523343584009
10,sqrt,14,70,0.8664430155623893
10,sqrt,14,80,0.8691641039977636
10,sqrt,14,90,0.8691641039977634
10,sqrt,14,100,0.8705339670114622
10,sqrt,14,110,0.8691734227937751
10,sqrt,14,120,0.8691734227937751
10,sqrt,14,130,0.8705339670114622
10,sqrt,14,140,0.8691641039977636
10,sqrt,14,150,0.8705246482154505
10,sqrt,14,160,0.8691641039977634
10,sqrt,14,170,0.8705432858074736
10,sqrt,14,180,0.8705246482154505
10,sqrt,14,190,0.8664430155623893
10,sqrt,14,200,0.8678128785760879
10,log2,2,10,0.8501258037461561
10,log2,2,20,0.867831516168111
10,log2,2,30,0.8705712421955083
10,log2,2,40,0.8705712421955084
10,log2,2,50,0.876022737862268
10,log2,2,60,0.8732923306308825
10,log2,2,70,0.8705526046034852
10,log2,2,80,0.8705619233994968
10,log2,2,90,0.8732736930388594
10,log2,2,100,0.8705619233994968
10,log2,2,110,0.8691920603857982
10,log2,2,120,0.8732736930388594
10,log2,2,130,0.8719131488211722
10,log2,2,140,0.8732736930388594
10,log2,2,150,0.873283011834871
10,log2,2,160,0.874643556052558
10,log2,2,170,0.8732830118348709
10,log2,2,180,0.871922467617184
10,log2,2,190,0.8732830118348709
10,log2,2,200,0.874643556052558
10,log2,4,10,0.862426614481409
10,log2,4,20,0.8610381138756873
10,log2,4,30,0.8705619233994968
10,log2,4,40,0.8637405647190383
10,log2,4,50,0.8732736930388594
10,log2,4,60,0.8705339670114622
10,log2,4,70,0.8718945112291493
10,log2,4,80,0.8759947814742335
10,log2,4,90,0.8787251887056193
10,log2,4,100,0.8759947814742335
10,log2,4,110,0.8759947814742335
10,log2,4,120,0.875985462678222
10,log2,4,130,0.8746249184605348
10,log2,4,140,0.8719038300251608
10,log2,4,150,0.8719131488211722
10,log2,4,160,0.8719038300251608
10,log2,4,170,0.8691827415897866
10,log2,4,180,0.8732736930388594
10,log2,4,190,0.8719131488211722
10,log2,4,200,0.8732830118348709
10,log2,6,10,0.8637312459230266
10,log2,6,20,0.8719131488211722
10,log2,6,30,0.8760041002702451
10,log2,6,40,0.8691827415897866
10,log2,6,50,0.8705432858074736
10,log2,6,60,0.8719038300251608
10,log2,6,70,0.8705432858074736
10,log2,6,80,0.874643556052558
10,log2,6,90,0.874643556052558
10,log2,6,100,0.8760041002702451
10,log2,6,110,0.874643556052558
10,log2,6,120,0.874643556052558
10,log2,6,130,0.8732736930388594
10,log2,6,140,0.874643556052558
10,log2,6,150,0.8760041002702451
10,log2,6,160,0.8760134190662565
10,log2,6,170,0.8719131488211722
10,log2,6,180,0.8719131488211722
10,log2,6,190,0.8719131488211722
10,log2,6,200,0.873283011834871
10,log2,8,10,0.8542447115832635
10,log2,8,20,0.8624079768893859
10,log2,8,30,0.8651290653247601
10,log2,8,40,0.8705619233994968
10,log2,8,50,0.8678408349641227
10,log2,8,60,0.8705619233994968
10,log2,8,70,0.8719317864131954
10,log2,8,80,0.8760320566582797
10,log2,8,90,0.8773832820799552
10,log2,8,100,0.8760134190662565
10,log2,8,110,0.8773832820799552
10,log2,8,120,0.8773832820799552
10,log2,8,130,0.8746528748485696
10,log2,8,140,0.8746528748485696
10,log2,8,150,0.873283011834871
10,log2,8,160,0.8773739632839437
10,log2,8,170,0.8787345075016308
10,log2,8,180,0.8760134190662565
10,log2,8,190,0.874643556052558
10,log2,8,200,0.8760041002702451
10,log2,10,10,0.843295126269686
10,log2,10,20,0.8637126083310036
10,log2,10,30,0.8651011089367253
10,log2,10,40,0.8719131488211722
10,log2,10,50,0.8719038300251608
10,log2,10,60,0.8664430155623893
10,log2,10,70,0.8691641039977634
10,log2,10,80,0.8746249184605348
10,log2,10,90,0.875985462678222
10,log2,10,100,0.875985462678222
10,log2,10,110,0.8732643742428478
10,log2,10,120,0.8732736930388594
10,log2,10,130,0.8719131488211722
10,log2,10,140,0.8746435560525582
10,log2,10,150,0.8746435560525582
10,log2,10,160,0.8760041002702451
10,log2,10,170,0.8732923306308825
10,log2,10,180,0.871922467617184
10,log2,10,190,0.871922467617184
10,log2,10,200,0.8705619233994968
10,log2,12,10,0.8583077066443016
10,log2,12,20,0.867831516168111
10,log2,12,30,0.8719131488211722
10,log2,12,40,0.8691920603857982
10,log2,12,50,0.8705526046034852
10,log2,12,60,0.8705526046034852
10,log2,12,70,0.8691920603857982
10,log2,12,80,0.8719038300251608
10,log2,12,90,0.8705339670114622
10,log2,12,100,0.8732643742428479
10,log2,12,110,0.8732643742428479
10,log2,12,120,0.8732736930388594
10,log2,12,130,0.8691734227937751
10,log2,12,140,0.8719038300251608
10,log2,12,150,0.8664616531544125
10,log2,12,160,0.8651104277327368
10,log2,12,170,0.8651104277327368
10,log2,12,180,0.8664802907464356
10,log2,12,190,0.8651197465287485
10,log2,12,200,0.8664802907464356
10,log2,14,10,0.863768521107073
10,log2,14,20,0.8610287950796757
10,log2,14,30,0.8610194762836642
10,log2,14,40,0.8691734227937751
10,log2,14,50,0.8664430155623893
10,log2,14,60,0.8664523343584009
10,log2,14,70,0.8664430155623893
10,log2,14,80,0.8691641039977636
10,log2,14,90,0.8691641039977634
10,log2,14,100,0.8705339670114622
10,log2,14,110,0.8691734227937751
10,log2,14,120,0.8691734227937751
10,log2,14,130,0.8705339670114622
10,log2,14,140,0.8691641039977636
10,log2,14,150,0.8705246482154505
10,log2,14,160,0.8691641039977634
10,log2,14,170,0.8705432858074736
10,log2,14,180,0.8705246482154505
10,log2,14,190,0.8664430155623893
10,log2,14,200,0.8678128785760879
10,,2,10,0.8242195508340323
10,,2,20,0.8364644487932159
10,,2,30,0.8323921349361664
10,,2,40,0.8378436306029261
10,,2,50,0.8419252632559873
10,,2,60,0.8460162147050602
10,,2,70,0.8419252632559873
10,,2,80,0.8419252632559873
10,,2,90,0.8432858074736744
10,,2,100,0.839204174820613
10,,2,110,0.843295126269686
10,,2,120,0.8446649892833846
10,,2,130,0.8460255335010718
10,,2,140,0.8473767589227471
10,,2,150,0.8460162147050602
10,,2,160,0.8433044450656976
10,,2,170,0.8446649892833846
10,,2,180,0.8446649892833846
10,,2,190,0.8419439008480104
10,,2,200,0.8392228124126362
10,,4,10,0.8378343118069145
10,,4,20,0.8391948560246016
10,,4,30,0.8378436306029261
10,,4,40,0.8391948560246016
10,,4,50,0.8487373031404344
10,,4,60,0.844655670487373
10,,4,70,0.8500792097660982
10,,4,80,0.8473674401267356
10,,4,90,0.8432764886776628
10,,4,100,0.8432764886776628
10,,4,110,0.8459975771130368
10,,4,120,0.8446463516913616
10,,4,130,0.8500978473581213
10,,4,140,0.8514583915758085
10,,4,150,0.8487279843444228
10,,4,160,0.8487279843444228
10,,4,170,0.8500978473581213
10,,4,180,0.8473767589227471
10,,4,190,0.845997577113037
10,,4,200,0.847358121330724
10,,6,10,0.8255800950517195
10,,6,20,0.8446277140993385
10,,6,30,0.836464448793216
10,,6,40,0.8405647190383003
10,,6,50,0.8432858074736744
10,,6,60,0.8473767589227472
10,,6,70,0.8432858074736744
10,,6,80,0.8446463516913614
10,,6,90,0.8487279843444228
10,,6,100,0.8473767589227471
10,,6,110,0.8432858074736744
10,,6,120,0.844655670487373
10,,6,130,0.8487373031404342
10,,6,140,0.8500978473581213
10,,6,150,0.8501071661541328
10,,6,160,0.8501071661541328
10,,6,170,0.8528375733855187
10,,6,180,0.8487559407324573
10,,6,190,0.8460162147050602
10,,6,200,0.8487373031404342
10,,8,10,0.8310222719224676
10,,8,20,0.8500885285621098
10,,8,30,0.8392041748206133
10,,8,40,0.8405740378343118
10,,8,50,0.8432858074736744
10,,8,60,0.8473860777187585
10,,8,70,0.8446463516913614
